Ref_Date,GEO,SEX,Weight_class,Weight_low,Weight_high,Weight_mid,Value
2014,Prince Edward Island,Males,5500 grams or more,5500,22,2761,0
2000,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2001,Prince Edward Island,Females,less than 500 grams,0,17,8.5,1
2002,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2003,Prince Edward Island,Females,less than 500 grams,0,17,8.5,2
2004,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2005,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2006,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2007,Prince Edward Island,Females,less than 500 grams,0,17,8.5,1
2008,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2009,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2010,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2011,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2012,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2013,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2014,Prince Edward Island,Females,less than 500 grams,0,17,8.5,0
2000,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2001,Prince Edward Island,Females,500 to 749 grams,500,20,260,2
2002,Prince Edward Island,Females,500 to 749 grams,500,20,260,1
2003,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2004,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2005,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2006,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2007,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2008,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2009,Prince Edward Island,Females,500 to 749 grams,500,20,260,2
2010,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2011,Prince Edward Island,Females,500 to 749 grams,500,20,260,1
2012,Prince Edward Island,Females,500 to 749 grams,500,20,260,4
2013,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2014,Prince Edward Island,Females,500 to 749 grams,500,20,260,0
2000,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,2
2001,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,2
2002,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,1
2003,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,0
2004,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,4
2005,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,1
2006,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,4
2007,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,1
2008,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,1
2009,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,3
2010,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,1
2011,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,0
2012,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,3
2013,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,0
2014,Prince Edward Island,Females,750 to 999 grams,750,21,385.5,2
2000,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,2
2001,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,0
2002,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,4
2003,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,4
2004,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,3
2005,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,0
2006,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,1
2007,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,2
2008,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,1
2009,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,4
2010,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,1
2011,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,2
2012,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,1
2013,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,3
2014,Prince Edward Island,Females,1000 to 1249 grams,1000,1,500.5,1
2000,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,1
2001,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,2
2002,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,0
2003,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,4
2004,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,3
2005,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,2
2006,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,1
2007,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,2
2008,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,0
2009,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,4
2010,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,4
2011,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,2
2012,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,0
2013,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,3
2014,Prince Edward Island,Females,1250 to 1499 grams,1250,2,626,1
2000,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,4
2001,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,1
2002,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,3
2003,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,1
2004,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,6
2005,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,5
2006,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,2
2007,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,2
2008,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,2
2009,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,5
2010,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,2
2011,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,2
2012,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,1
2013,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,1
2014,Prince Edward Island,Females,1500 to 1749 grams,1500,3,751.5,3
2000,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,5
2001,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,5
2002,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,6
2003,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,3
2004,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,5
2005,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,4
2006,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,4
2007,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,8
2008,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,6
2009,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,2
2010,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,5
2011,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,5
2012,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,4
2013,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,5
2014,Prince Edward Island,Females,1750 to 1999 grams,1750,4,877,2
2000,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,6
2001,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,4
2002,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,9
2003,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,7
2004,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,7
2005,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,6
2006,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,9
2007,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,9
2008,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,9
2009,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,13
2010,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,5
2011,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,8
2012,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,5
2013,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,3
2014,Prince Edward Island,Females,2000 to 2249 grams,2000,5,1002.5,16
2000,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,13
2001,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,9
2002,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,18
2003,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,7
2004,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,12
2005,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,13
2006,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,16
2007,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,15
2008,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,23
2009,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,12
2010,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,15
2011,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,12
2012,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,19
2013,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,19
2014,Prince Edward Island,Females,2250 to 2499 grams,2250,6,1128,17
2000,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,18
2001,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,32
2002,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,24
2003,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,29
2004,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,29
2005,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,29
2006,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,26
2007,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,24
2008,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,33
2009,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,28
2010,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,35
2011,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,42
2012,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,35
2013,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,51
2014,Prince Edward Island,Females,2500 to 2749 grams,2500,7,1253.5,38
2000,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,66
2001,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,59
2002,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,51
2003,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,71
2004,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,68
2005,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,54
2006,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,67
2007,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,83
2008,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,72
2009,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,56
2010,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,56
2011,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,69
2012,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,68
2013,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,67
2014,Prince Edward Island,Females,2750 to 2999 grams,2750,8,1379,64
2000,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,106
2001,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,93
2002,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,119
2003,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,125
2004,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,105
2005,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,113
2006,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,125
2007,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,100
2008,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,134
2009,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,136
2010,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,118
2011,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,102
2012,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,99
2013,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,108
2014,Prince Edward Island,Females,3000 to 3249 grams,3000,9,1504.5,125
2000,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,138
2001,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,120
2002,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,120
2003,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,138
2004,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,146
2005,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,136
2006,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,132
2007,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,151
2008,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,156
2009,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,161
2010,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,156
2011,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,133
2012,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,135
2013,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,133
2014,Prince Edward Island,Females,3250 to 3499 grams,3250,10,1630,133
2000,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,132
2001,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,136
2002,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,148
2003,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,132
2004,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,122
2005,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,109
2006,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,129
2007,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,147
2008,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,126
2009,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,127
2010,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,126
2011,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,142
2012,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,132
2013,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,126
2014,Prince Edward Island,Females,3500 to 3749 grams,3500,11,1755.5,111
2000,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,83
2001,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,108
2002,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,91
2003,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,94
2004,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,75
2005,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,94
2006,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,82
2007,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,98
2008,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,83
2009,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,88
2010,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,74
2011,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,101
2012,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,74
2013,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,89
2014,Prince Edward Island,Females,3750 to 3999 grams,3750,12,1881,96
2000,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,65
2001,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,60
2002,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,57
2003,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,49
2004,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,56
2005,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,56
2006,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,52
2007,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,42
2008,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,48
2009,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,53
2010,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,51
2011,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,45
2012,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,51
2013,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,42
2014,Prince Edward Island,Females,4000 to 4249 grams,4000,13,2006.5,45
2000,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,22
2001,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,42
2002,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,20
2003,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,22
2004,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,18
2005,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,20
2006,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,14
2007,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,16
2008,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,24
2009,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,13
2010,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,22
2011,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,11
2012,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,17
2013,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,22
2014,Prince Edward Island,Females,4250 to 4499 grams,4250,14,2132,15
2000,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,16
2001,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,14
2002,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,7
2003,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,10
2004,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,13
2005,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,11
2006,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,6
2007,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,6
2008,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,9
2009,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,10
2010,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,3
2011,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,9
2012,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,2
2013,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,9
2014,Prince Edward Island,Females,4500 to 4749 grams,4500,15,2257.5,6
2000,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,5
2001,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,3
2002,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,2
2003,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,5
2004,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,3
2005,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,4
2006,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,6
2007,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,4
2008,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,1
2009,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,3
2010,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,1
2011,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,7
2012,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,3
2013,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,2
2014,Prince Edward Island,Females,4750 to 4999 grams,4750,16,2383,6
2000,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,2
2001,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2002,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,1
2003,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,3
2004,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2005,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,1
2006,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,1
2007,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,4
2008,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2009,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,1
2010,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2011,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2012,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,1
2013,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2014,Prince Edward Island,Females,5000 to 5249 grams,5000,18,2509,0
2000,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2001,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2002,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,1
2003,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,1
2004,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2005,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2006,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2007,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2008,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2009,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,1
2010,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,1
2011,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,1
2012,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2013,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2014,Prince Edward Island,Females,5250 to 5499 grams,5250,19,2634.5,0
2000,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2001,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2002,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2003,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2004,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2005,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2006,Prince Edward Island,Females,5500 grams or more,5500,22,2761,1
2007,Prince Edward Island,Females,5500 grams or more,5500,22,2761,1
2008,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2009,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2010,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2011,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2012,Prince Edward Island,Females,5500 grams or more,5500,22,2761,1
2013,Prince Edward Island,Females,5500 grams or more,5500,22,2761,0
2014,Prince Edward Island,Females,5500 grams or more,5500,22,2761,1
2000,Nova Scotia,Males,less than 500 grams,0,17,8.5,9
2001,Nova Scotia,Males,less than 500 grams,0,17,8.5,11
2002,Nova Scotia,Males,less than 500 grams,0,17,8.5,5
2003,Nova Scotia,Males,less than 500 grams,0,17,8.5,9
2004,Nova Scotia,Males,less than 500 grams,0,17,8.5,9
2005,Nova Scotia,Males,less than 500 grams,0,17,8.5,4
2006,Nova Scotia,Males,less than 500 grams,0,17,8.5,5
2007,Nova Scotia,Males,less than 500 grams,0,17,8.5,7
2008,Nova Scotia,Males,less than 500 grams,0,17,8.5,5
2009,Nova Scotia,Males,less than 500 grams,0,17,8.5,5
2010,Nova Scotia,Males,less than 500 grams,0,17,8.5,9
2011,Nova Scotia,Males,less than 500 grams,0,17,8.5,8
2012,Nova Scotia,Males,less than 500 grams,0,17,8.5,9
2013,Nova Scotia,Males,less than 500 grams,0,17,8.5,3
2014,Nova Scotia,Males,less than 500 grams,0,17,8.5,8
2000,Nova Scotia,Males,500 to 749 grams,500,20,260,8
2001,Nova Scotia,Males,500 to 749 grams,500,20,260,10
2002,Nova Scotia,Males,500 to 749 grams,500,20,260,9
2003,Nova Scotia,Males,500 to 749 grams,500,20,260,10
2004,Nova Scotia,Males,500 to 749 grams,500,20,260,11
2005,Nova Scotia,Males,500 to 749 grams,500,20,260,7
2006,Nova Scotia,Males,500 to 749 grams,500,20,260,6
2007,Nova Scotia,Males,500 to 749 grams,500,20,260,4
2008,Nova Scotia,Males,500 to 749 grams,500,20,260,8
2009,Nova Scotia,Males,500 to 749 grams,500,20,260,7
2010,Nova Scotia,Males,500 to 749 grams,500,20,260,9
2011,Nova Scotia,Males,500 to 749 grams,500,20,260,3
2012,Nova Scotia,Males,500 to 749 grams,500,20,260,12
2013,Nova Scotia,Males,500 to 749 grams,500,20,260,3
2014,Nova Scotia,Males,500 to 749 grams,500,20,260,10
2000,Nova Scotia,Males,750 to 999 grams,750,21,385.5,5
2001,Nova Scotia,Males,750 to 999 grams,750,21,385.5,3
2002,Nova Scotia,Males,750 to 999 grams,750,21,385.5,9
2003,Nova Scotia,Males,750 to 999 grams,750,21,385.5,9
2004,Nova Scotia,Males,750 to 999 grams,750,21,385.5,6
2005,Nova Scotia,Males,750 to 999 grams,750,21,385.5,12
2006,Nova Scotia,Males,750 to 999 grams,750,21,385.5,7
2007,Nova Scotia,Males,750 to 999 grams,750,21,385.5,6
2008,Nova Scotia,Males,750 to 999 grams,750,21,385.5,8
2009,Nova Scotia,Males,750 to 999 grams,750,21,385.5,8
2010,Nova Scotia,Males,750 to 999 grams,750,21,385.5,15
2011,Nova Scotia,Males,750 to 999 grams,750,21,385.5,8
2012,Nova Scotia,Males,750 to 999 grams,750,21,385.5,9
2013,Nova Scotia,Males,750 to 999 grams,750,21,385.5,11
2014,Nova Scotia,Males,750 to 999 grams,750,21,385.5,11
2000,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,10
2001,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,14
2002,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,10
2003,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,9
2004,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,14
2005,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,15
2006,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,10
2007,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,10
2008,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,18
2009,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,9
2010,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,13
2011,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,10
2012,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,11
2013,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,5
2014,Nova Scotia,Males,1000 to 1249 grams,1000,1,500.5,12
2000,Nova Scotia,Males,1250 to 1499 grams,1250,2,626,13
